tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,target_norm,text_clean
@mention  Enjoy #Sxsw and ride anywhere in Austin for $10 . dwnld the #GroundLink app{link} booth 437,,No emotion toward brand or product,,enjoy sxsw and ride anywhere in austin for 10 dwnld the groundlink app link booth 437
"Before It Even Begins, #Apple #Winning #SXSW {link} via @mention @mention",,No emotion toward brand or product,,before it even begins apple winning sxsw link via
"Before It Even Begins, #Apple Wins #SXSW {link} #tc #apple",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link tc apple
"Before It Even Begins, #Apple Wins #SXSW {link} by @mention",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link by
"Before it even begins, #Apple wins #SXSW {link} Opening a temporary store in downtown Austin to support #iPad2 launch #genius",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link opening a temporary store in downtown austin to support ipad2 launch genius
"Before It Even Begins, #Apple Wins #SXSW: Over the past week, thereÛªs been a major dilemma inÛ_ {link}",,No emotion toward brand or product,,before it even begins apple wins sxsw over the past week there s been a major dilemma in link
"Before It Even Begins, Apple Wins #SXSW - TechCrunch - {link} #ipad",Apple,Positive emotion,Apple,before it even begins apple wins sxsw techcrunch link ipad
"Before It Even Begins, Apple Wins #SXSW {link}",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link
"Before it even begins, Apple wins #SXSW {link}",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link
"Before It Even Begins, Apple Wins #SXSW {link} /by @mention for @mention",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link by for
"Before It Even Begins, Apple Wins #SXSW {link} /via @mention by @mention for @mention",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link via by for
"Before It Even Begins, Apple Wins #SXSW {link} on @mention",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link on
"Before It Even Begins, Apple Wins #SXSW {link} via @mention",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link via
"Before It Even Begins, Apple WinsåÊ#SxSW, {link} -&gt; gonna get sum! via @mention",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link gt gonna get sum via
"Before It Even Begins, Apple Wins SXSW - TechCrunch {link} #sxsw",Apple,Positive emotion,Apple,before it even begins apple wins sxsw techcrunch link sxsw
"Before It Even Begins, Apple Wins SXSW {link} &lt;&lt; who will win big at #SXSW ?",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link lt lt who will win big at sxsw
"Before It Even Begins, Apple Wins SXSW {link} #Apple #iPad2 #PM #SXSW",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link apple ipad2 pm sxsw
"Before It Even Begins, Apple Wins SXSW {link} #apple #ipad2 #SXSW #TC",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link apple ipad2 sxsw tc
"Before It Even Begins, Apple WinsåÊSXSW {link} #apple #sxsw",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link apple sxsw
"Before It Even Begins, Apple Wins SXSW {link} #tc #apple #ipad2 #sxsw",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link tc apple ipad2 sxsw
"Before It Even Begins, Apple WinsåÊSXSW {link} via @mention #apple #sxsw",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link via apple sxsw
"Before It Even Begins, Apple Wins SXSW: {link} Via @mention @mention #Apple #SXSW",Apple,Positive emotion,Apple,before it even begins apple wins sxsw link via apple sxsw
Badgeless event! Free Drinks! ÛÏ@mention Heading to free Google-sponsored happy hour for Semantic Web Austin @mention Fogo de ChÌÁo #sxswÛ,Google,Positive emotion,Google,badgeless event free drinks heading to free google sponsored happy hour for semantic web austin fogo de ch o sxsw
"BEST SWAG EVER. Thanks @mention My charging iPhone thanks you, too. #SXSW {link}",iPhone,Positive emotion,Apple iPhone,best swag ever thanks my charging iphone thanks you too sxsw link
"Thanks to everyone for making it a great day in the shop today. if you're in Austin, come by and see us tomorrow {link} #sxsw",,No emotion toward brand or product,,thanks to everyone for making it a great day in the shop today if you're in austin come by and see us tomorrow link sxsw
Thanks to everyone who came by today. Good luck on winning the iPad. Stop by tomorrow for more chances to win. #sxsw,,No emotion toward brand or product,,thanks to everyone who came by today good luck on winning the ipad stop by tomorrow for more chances to win sxsw
Timing is everything! iPad 2: Brand Winner at SXSW by @mention {link} #pnid #sxsw,iPad,Positive emotion,Apple iPad,timing is everything ipad 2 brand winner at sxsw by link pnid sxsw
"Hey #sxsw exhibitors, why not capture your booth experience with a Retrollect disc? Most popular disc wins iPad 2! {link}",iPad,Positive emotion,Apple iPad,hey sxsw exhibitors why not capture your booth experience with a retrollect disc most popular disc wins ipad 2 link
Gave into extreme temptation at #SXSW and bought an iPad 2... #impulse,,I can't tell,,gave into extreme temptation at sxsw and bought an ipad 2 impulse
#4sq sees Facebook and Google as competition via @mention #checkins #sxsw,,No emotion toward brand or product,,4sq sees facebook and google as competition via checkins sxsw
#SXSW has fantastic schedule app for iphone! Bummer I am still crackberry!,iPad or iPhone App,Positive emotion,Apple iOS App,sxsw has fantastic schedule app for iphone bummer i am still crackberry
"Photo: By far, the best #sxsw accessory is an ipad. Followed closely by a margarita. ;-) {link}",iPad,Positive emotion,Apple iPad,photo by far the best sxsw accessory is an ipad followed closely by a margarita link
One of my fav photos of #SXSW so far @mention &amp;  @mention #google #SXSW {link},Google,Positive emotion,Google,one of my fav photos of sxsw so far amp google sxsw link
"Watch out FB 4 big brother RT@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",,No emotion toward brand or product,,watch out fb 4 big brother rt google to launch major new social network called circles possibly today link sxsw
I think I fell a bit more in love with #google today. Thanks for throwing the nerd party at the speakeasy during #SxSW,Google,Positive emotion,Google,i think i fell a bit more in love with google today thanks for throwing the nerd party at the speakeasy during sxsw
"The way I figure, an iPad 2 is a good replacement for not making it to #SXSW this year.",iPad,Positive emotion,Apple iPad,the way i figure an ipad 2 is a good replacement for not making it to sxsw this year
"At a DSLR film discussion moderated by Guy Kawasaki, of Apple fame. Packed house! #SXSW",,No emotion toward brand or product,,at a dslr film discussion moderated by guy kawasaki of apple fame packed house sxsw
"Get #SXSW film red carpet coverage from @mention CW Austin Star Mandy Dugan on Grouped{in}, get the app {link}",,No emotion toward brand or product,,get sxsw film red carpet coverage from cw austin star mandy dugan on grouped in get the app link
I need to find a better #SXSW stream to follow. The inane iPad 2 tweets are surely not what SouthBy is about,iPad,Negative emotion,Apple iPad,i need to find a better sxsw stream to follow the inane ipad 2 tweets are surely not what southby is about
ÛÏ@mention Find out if you are stupid with our Stupid Game for you #iPad currently on special #sxsw sale! {link},,No emotion toward brand or product,,find out if you are stupid with our stupid game for you ipad currently on special sxsw sale link
Do it! RT Find the hottest spots @mention w/ @mention Hot Spots #SXSW app on #WP7 {link} or iPhone {link},,Positive emotion,,do it rt find the hottest spots w hot spots sxsw app on wp7 link or iphone link
Trying to find the apple pop up store #sxsw #widfy,,No emotion toward brand or product,,trying to find the apple pop up store sxsw widfy
Is he the first person in the queue at the new apple store in Austin? May we be #sxsw  {link},,No emotion toward brand or product,,is he the first person in the queue at the new apple store in austin may we be sxsw link
#technews Flipboard Adds Instagram Photos and Social Search [Apps] {link} #Tech_News #Apple #Social_Search #SXSW #tech,,No emotion toward brand or product,,technews flipboard adds instagram photos and social search apps link tech news apple social search sxsw tech
il CEO di flipboard annuncia la versione iPhone ÛÏ@mention @mention next platform for Flipboard is the iPhone Team started working on it #SXSW,,No emotion toward brand or product,,il ceo di flipboard annuncia la versione iphone next platform for flipboard is the iphone team started working on it sxsw
"Google is focusing on bridging the digital/physical divide. Eg. maps, streetview, hotpot &amp; autonomous driving. #sxsw @mention",Google,Positive emotion,Google,google is focusing on bridging the digital physical divide eg maps streetview hotpot amp autonomous driving sxsw
Hey #SXSW folks please keep us posted on Google #Circles. Hope you're all having a blast! {link},Other Google product or service,Positive emotion,Other Google product or service,hey sxsw folks please keep us posted on google circles hope you're all having a blast link
Hey #SXSW folks: free lunch from La Condesa at the Pepsi Max Lot! Map: {link},,No emotion toward brand or product,,hey sxsw folks free lunch from la condesa at the pepsi max lot map link
#Apple To Follow Its Customers To #SXSW - Forbes - {link} - Alcoholics call this Û÷enabling.Ûª The rest of us call it genius.,Apple,Positive emotion,Apple,apple to follow its customers to sxsw forbes link alcoholics call this enabling the rest of us call it genius
"Please RT Follow the next big #college social network @mention chance to win an #iPad at 7,000 followers #socialmedia #SXSW",,No emotion toward brand or product,,please rt follow the next big college social network chance to win an ipad at 7 000 followers socialmedia sxsw
"Gear list for #SXSW music: iPhone (VZW), Blackberry (Sprint), iPad, Jambox, HP elitebook. Lacking good, portable headphones. Suggestions?",,No emotion toward brand or product,,gear list for sxsw music iphone vzw blackberry sprint ipad jambox hp elitebook lacking good portable headphones suggestions
"Preparing for #sxsw talk about #google doodles with @mention It will be fun! Friday, 5pm: {link}",,No emotion toward brand or product,,preparing for sxsw talk about google doodles with it will be fun friday 5pm link
Good news for Austin-bound Apple fanboys: {link} #sxsw #ipad2,Apple,Positive emotion,Apple,good news for austin bound apple fanboys link sxsw ipad2
"Saving up for iPad2 photo at Apple Store, #SXSW {link}  by @mention @mention @mention @mention @jerranalley @tbalinas",,No emotion toward brand or product,,saving up for ipad2 photo at apple store sxsw link by
Wish list for tech?  #NTN #SXSW Google Apps helps level the playing field for kids who may not have software at home,Android App,Positive emotion,Android,wish list for tech ntn sxsw google apps helps level the playing field for kids who may not have software at home
Designing for the iPad? Catch @mention Matt Carlson &amp; @mention Matthew Davis at #SXSW (Mon. 9:30) at the Hilton. {link},,No emotion toward brand or product,,designing for the ipad catch matt carlson amp matthew davis at sxsw mon 9 30 at the hilton link
Hitlantis for the iPad. Cool song explorer app. Hitlantis.com. #sxsw #musicviz,iPad or iPhone App,Positive emotion,Apple iOS App,hitlantis for the ipad cool song explorer app hitlantis com sxsw musicviz
Searching for the temporary Apple Store at #sxsw.,,No emotion toward brand or product,,searching for the temporary apple store at sxsw
Thank you for these! RT @mention Public notes for &quot;5 steps to bulletproof UX strategy&quot;: {link} #sxsw #rhjr_ux5. Via @mention,,No emotion toward brand or product,,thank you for these rt public notes for quot 5 steps to bulletproof ux strategy quot link sxsw rhjr ux5 via
A queue's forming at the Austin #SXSW pop-up Apple store {link} The guy at the front's been there since 5am apparently!,,No emotion toward brand or product,,a queue's forming at the austin sxsw pop up apple store link the guy at the front's been there since 5am apparently
"we're all frankenstein! the amalgamation of our fragmented digital identities, becoming anti-schizophrenic, google as AI. SM is sci-fi #sxsw",,No emotion toward brand or product,,we're all frankenstein the amalgamation of our fragmented digital identities becoming anti schizophrenic google as ai sm is sci fi sxsw
Who wants free #music? Free #SXSW sampler album on #iTunes. Download it now. (Link opens iTunes) {link},,No emotion toward brand or product,,who wants free music free sxsw sampler album on itunes download it now link opens itunes link
There's a free 22-song sampler available for download on iTunes of artists playing at #SXSW - check it out here {link} #music,,No emotion toward brand or product,,there's a free 22 song sampler available for download on itunes of artists playing at sxsw check it out here link music
&quot;Win free iPad 2 from webdoc.com #SXSW RT&quot;,,No emotion toward brand or product,,quot win free ipad 2 from webdoc com sxsw rt quot
Grab some free music: SXSW 2011 Showcasing Artists MP3 Torrents are in the wild. {link} #sxsw,,No emotion toward brand or product,,grab some free music sxsw 2011 showcasing artists mp3 torrents are in the wild link sxsw
Hey #SXSW friends -- anyone have an iPhone charger that @mention can borrow TONIGHT? LMK.,,No emotion toward brand or product,,hey sxsw friends anyone have an iphone charger that can borrow tonight lmk
Any of my friends at SxSW willing to pick me up an iPad - will pay a premium. DM me #sxsw #atl {link},iPad,Positive emotion,Apple iPad,any of my friends at sxsw willing to pick me up an ipad will pay a premium dm me sxsw atl link
Good talk from AKQAs @mention on iPad interface w/ callback to design principles. My wish: go beyond media/marketing examples. #fb #SxSW,iPad,Positive emotion,Apple iPad,good talk from akqas on ipad interface w callback to design principles my wish go beyond media marketing examples fb sxsw
Person in front of me just took a picture with his new iPad #sxsw,iPad,Positive emotion,Apple iPad,person in front of me just took a picture with his new ipad sxsw
"Tessie S, frontwoman for Intimate Stranger, has ink in the most painful places to get ink on. Respect.  Location: {link}  #sxsw",,No emotion toward brand or product,,tessie s frontwoman for intimate stranger has ink in the most painful places to get ink on respect location link sxsw
&quot;the future of local is contextual discovery.&quot; Google's Marissa Mayer argues 'where' is exceptionally valuable for any type of search. #SXSW,,No emotion toward brand or product,,quot the future of local is contextual discovery quot google's marissa mayer argues 'where' is exceptionally valuable for any type of search sxsw
&quot;the future of touch user interface design&quot; wondering if the presentation (by microsoft employees) will mention the ipad. #sxsw,,No emotion toward brand or product,,quot the future of touch user interface design quot wondering if the presentation by microsoft employees will mention the ipad sxsw
SXSW Geek Games: Compete To Gain VIP Status &amp; Win Big Prizes: We all know... {link} #mashable #geek_games #sxsw #Cyber #iPhone,,No emotion toward brand or product,,sxsw geek games compete to gain vip status amp win big prizes we all know link mashable geek games sxsw cyber iphone
"ÛÏ@mention Gearing up to make a splash, @mention to Launch &quot;Groupon or Living Social-type&quot; Rewards at #SXSW {link} - Boom!",,No emotion toward brand or product,,gearing up to make a splash to launch quot groupon or living social type quot rewards at sxsw link boom
Zazzle is gearing up to hit #SXSW! Look out for our tweets on where you can come by to create your own iPhone case! #zazzlesxsw,,No emotion toward brand or product,,zazzle is gearing up to hit sxsw look out for our tweets on where you can come by to create your own iphone case zazzlesxsw
Marketing Genius: Apple opens pop up store outside of #SXSW {link},Apple,Positive emotion,Apple,marketing genius apple opens pop up store outside of sxsw link
ÛÏ@mention Get a look at #SXSW's rumored #Apple &quot;pop-up&quot; store in Austin: {link},,No emotion toward brand or product,,get a look at sxsw's rumored apple quot pop up quot store in austin link
Trying to get into the #Google 80's Retro Party at Maggie Mae's. Line is huge. Hope it is worth the wait #sxsw #sxsw2011,,No emotion toward brand or product,,trying to get into the google 80's retro party at maggie mae's line is huge hope it is worth the wait sxsw sxsw2011
ÛÏ@mention Get ready for the word &quot;Circles&quot; to be trending #SXSWi #SXSW :)Û #Google #Circles #social,Other Google product or service,Positive emotion,Other Google product or service,get ready for the word quot circles quot to be trending sxswi sxsw google circles social
At #SXSW? Get the SoundCloud iPhone app {link} and start recording. Use 4sq geotagging to be on the map: {link},,No emotion toward brand or product,,at sxsw get the soundcloud iphone app link and start recording use 4sq geotagging to be on the map link
"After you get your food, don't forget to snap a photo to win a MacBook air, iPad 2, or Apple TV! #sxsw",iPad,Positive emotion,Apple iPad,after you get your food don't forget to snap a photo to win a macbook air ipad 2 or apple tv sxsw
"Austin is getting full, and #SXSW is underway.  I can tell because my iPhone is an intermittent brick. #crowded",iPhone,Negative emotion,Apple iPhone,austin is getting full and sxsw is underway i can tell because my iphone is an intermittent brick crowded
Google to give social networking another try with &quot;Circles&quot;: via @mention @mention  {link} #sxsw,,No emotion toward brand or product,,google to give social networking another try with quot circles quot via link sxsw
"#at&amp;t giving away amazing prizes..iPhone, Android, kindle, tablets...amazing. happening now at the Sheraton.#SXSW.",,No emotion toward brand or product,,at amp t giving away amazing prizes iphone android kindle tablets amazing happening now at the sheraton sxsw
Zaarly is giving away an iPad 2 during #SxSW to the person with the most beta signup referrals {link} #craigslistkiller,,No emotion toward brand or product,,zaarly is giving away an ipad 2 during sxsw to the person with the most beta signup referrals link craigslistkiller
Google is giving free Google Labs laptops to open source coders who r attending this meet-up. #sxsw I got a cupcake:-),Google,Positive emotion,Google,google is giving free google labs laptops to open source coders who r attending this meet up sxsw i got a cupcake
"The #SXSW GO app no available for Blackberry and Windows 7 in addition to iPhone, iPad, and Android: {link}",iPad or iPhone App,Positive emotion,Apple iOS App,the sxsw go app no available for blackberry and windows 7 in addition to iphone ipad and android link
I need to go to #sxsw. but i have 7-mo. old. no sitter. know where to score apple-martin-like #babyheadphones ?,,No emotion toward brand or product,,i need to go to sxsw but i have 7 mo old no sitter know where to score apple martin like babyheadphones
I have to go to SXSW next year! RT @mention Apple to open temporary store at #SXSW {link},,No emotion toward brand or product,,i have to go to sxsw next year rt apple to open temporary store at sxsw link
"I want to go to the Apple pop-up store, but I'm afraid I'll leave with a new iPad. #SXSW",iPad,Positive emotion,Apple iPad,i want to go to the apple pop up store but i'm afraid i'll leave with a new ipad sxsw
Hey #sxsw goers! I'm droppin survival tips all week to help you get you rock on!  Best hangover cure: Tamale House 3! {link},,No emotion toward brand or product,,hey sxsw goers i'm droppin survival tips all week to help you get you rock on best hangover cure tamale house 3 link
"If a bomb goes off in this convention center, Apple is going to lose a devastating share of it's customer base #sxsw",,No emotion toward brand or product,,if a bomb goes off in this convention center apple is going to lose a devastating share of it's customer base sxsw
"OMG...I'm going down to #SXSW With: MacBook Pro, iPad, iPhone4, iPod, and a Galaxy Tab... #TechGeek",iPad,Positive emotion,Apple iPad,omg i'm going down to sxsw with macbook pro ipad iphone4 ipod and a galaxy tab techgeek
"If youÛªre going to #SXSW and want to talk about HTML and CSS, catch @mention from the Google Webmaster Team.",,No emotion toward brand or product,,if you re going to sxsw and want to talk about html and css catch from the google webmaster team
So who is going to see @mention tonight?!?? {link} #SXSW,,No emotion toward brand or product,,so who is going to see tonight link sxsw
I have my golden tickets f 4sq party Day after the real party #Redbullbpm with Felix da Housecat playing on iPad! #SXSW  {link},,Positive emotion,,i have my golden tickets f 4sq party day after the real party redbullbpm with felix da housecat playing on ipad sxsw link
@mention  good morning 2 u!  Enjoy #Sxsw and ride anywhere in Austin for $10 .  dwnld the #GroundLink app{link} booth 437,,No emotion toward brand or product,,good morning 2 u enjoy sxsw and ride anywhere in austin for 10 dwnld the groundlink app link booth 437
"Queue for Google (and, er, Bing) talk on spam is ridiculous. Busiest I've seen. #SXSW",,No emotion toward brand or product,,queue for google and er bing talk on spam is ridiculous busiest i've seen sxsw
haha. the google &quot;Party like it's 1986&quot; Party {link} #SXSW,Google,No emotion toward brand or product,Google,haha the google quot party like it's 1986 quot party link sxsw
"GSD&amp;M Google #sxsw party with @mention is blowing my mind. So much amazing food, drink, music, &amp; photo booth fun!",,Positive emotion,,gsd amp m google sxsw party with is blowing my mind so much amazing food drink music amp photo booth fun
#SXSW the google authenticator app for mobile devices is a step ahead...,Other Google product or service,Positive emotion,Other Google product or service,sxsw the google authenticator app for mobile devices is a step ahead
.@mention Google Circles will be the first real alternative to Facebook #sxsw,Other Google product or service,Positive emotion,Other Google product or service,google circles will be the first real alternative to facebook sxsw
When will Google Circles launch? {link} &quot;May have good timing given Twitter? #sxsw,,No emotion toward brand or product,,when will google circles launch link quot may have good timing given twitter sxsw
ÛÏ@mention Google doesn't place any value on your domain extension. They are all equal. #SXSW #qagbÛ,,No emotion toward brand or product,,google doesn't place any value on your domain extension they are all equal sxsw qagb
Attending Google keynote. Seeing Google maps for mobile features.  #SXSW,,No emotion toward brand or product,,attending google keynote seeing google maps for mobile features sxsw
&quot;The Google name was built on getting things out there and trying them out.&quot; -Marissa Mayer #sxsw frm @mention,,No emotion toward brand or product,,quot the google name was built on getting things out there and trying them out quot marissa mayer sxsw frm
ÛÏ@mention Google now lets you block sites you can't stand {link} How about #sxsw blocking that looks like what I need,Google,Positive emotion,Google,google now lets you block sites you can't stand link how about sxsw blocking that looks like what i need
Length of Google penalty based on severity of breach of webmaster guidelines. i.e.white text on white bgr might get 30 day pen. #sxsw #qagb,,Negative emotion,,length of google penalty based on severity of breach of webmaster guidelines i e white text on white bgr might get 30 day pen sxsw qagb
ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ @mention  @mention,,No emotion toward brand or product,,google set to launch new social network circles today at sxsw
I need to google that lonelyboy15 @mention talks about all the time ;) #sxsw #enchantment,,No emotion toward brand or product,,i need to google that lonelyboy15 talks about all the time sxsw enchantment
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today (Updated) - did it happen #sxsw {link}",,No emotion toward brand or product,,google to launch major new social network called circles possibly today updated did it happen sxsw link
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #SXSW",,No emotion toward brand or product,,google to launch major new social network called circles possibly today link sxsw
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ 

Something to keep watch",,No emotion toward brand or product,,google to launch major new social network called circles possibly today link sxsw something to keep watch
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ 
It'll never beat myspace.",Other Google product or service,Negative emotion,Other Google product or service,google to launch major new social network called circles possibly today link sxsw it'll never beat myspace
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ @mention",,No emotion toward brand or product,,google to launch major new social network called circles possibly today link sxsw
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ @mention  bigger than gaga",Other Google product or service,Positive emotion,Other Google product or service,google to launch major new social network called circles possibly today link sxsw bigger than gaga
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ #fb",,No emotion toward brand or product,,google to launch major new social network called circles possibly today link sxsw fb
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ #HNWSXSW",,No emotion toward brand or product,,google to launch major new social network called circles possibly today link sxsw hnwsxsw
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ %GOOG",,No emotion toward brand or product,,google to launch major new social network called circles possibly today link sxsw goog
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ Dejavu all over again.",,No emotion toward brand or product,,google to launch major new social network called circles possibly today link sxsw dejavu all over again
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ sta, nije im dosta GBuzz-a?",,No emotion toward brand or product,,google to launch major new social network called circles possibly today link sxsw sta nije im dosta gbuzz a
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ te dije wey @mention",,No emotion toward brand or product,,google to launch major new social network called circles possibly today link sxsw te dije wey
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ. Super interesting...",Google,Positive emotion,Google,google to launch major new social network called circles possibly today link sxsw super interesting
"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxswÛ",,No emotion toward brand or product,,google to launch major new social network called circles possibly today link rt sxsw
"ÛÏ@mention Google to launch major new social network called Circles, possibly today at SXSW: {link} #sxsw #nfusionÛ #hmm",,No emotion toward brand or product,,google to launch major new social network called circles possibly today at sxsw link sxsw nfusion hmm
"ÛÏ@mention Google to Launch New Social Network Called Circles, Today? {link} #sxswÛ Applause for a new privacy model attempt",,Positive emotion,,google to launch new social network called circles today link sxsw applause for a new privacy model attempt
#technews Google to launch new social network at SXSW? {link} #Tech_News #ACLU #SXSW #tech,,No emotion toward brand or product,,technews google to launch new social network at sxsw link tech news aclu sxsw tech
BREAKING: Google to Launch Major New Social Network Called Circles...Today? {link} via @mention #sxsw #socialmedia,,No emotion toward brand or product,,breaking google to launch major new social network called circles today link via sxsw socialmedia
"Diller on Google TV: &quot;The first product wasn't good. It wasn't a consumer product, basically.&quot; #sxsw #diller",Other Google product or service,No emotion toward brand or product,Other Google product or service,diller on google tv quot the first product wasn't good it wasn't a consumer product basically quot sxsw diller
.@mention Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #SXSW  | RT @mention,Google,Positive emotion,Google,google will connect the digital amp physical worlds through mobile link sxsw rt
.@mention Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #SXSW RT @mention,,No emotion toward brand or product,,google will connect the digital amp physical worlds through mobile link sxsw rt
"#SXSW Why Google, Apple, EA Games, Zynga, Facebook, Microsoft and Intuit went gaga for The Go Game: {link}",,No emotion toward brand or product,,sxsw why google apple ea games zynga facebook microsoft and intuit went gaga for the go game link
Future of Google: Contextual discovery. Location + context helps us go deeper than ever. Searches without search @mention #sxsw,Google,Positive emotion,Google,future of google contextual discovery location context helps us go deeper than ever searches without search sxsw
ÛÏ@mention Google's Cutts says reputation and topicality are the 2 keys that matter in site rankings. #qagb #sxswÛ = saying trust &amp; LDA,,No emotion toward brand or product,,google's cutts says reputation and topicality are the 2 keys that matter in site rankings qagb sxsw saying trust amp lda
What will Google's Marissa Mayer talk about at 3.30? Worth going? #sxsw,,No emotion toward brand or product,,what will google's marissa mayer talk about at 3 30 worth going sxsw
Ironic? I googled the directions to @mention party and ended up walked 6 blocks in the wrong direction. Time for bed I think. #SXSW,,No emotion toward brand or product,,ironic i googled the directions to party and ended up walked 6 blocks in the wrong direction time for bed i think sxsw
"Check out GoogleTV to iPad Apps: The Connected TV Experience at SXSW.
{link} #SXSW #ConnectedTV",iPad or iPhone App,Positive emotion,Apple iOS App,check out googletv to ipad apps the connected tv experience at sxsw link sxsw connectedtv
"Check out GoogleTV to iPad Apps: The Connected TV Experience at SXSW.
{link} #SXSW #ConnectedTV Fascinating!",iPad or iPhone App,Positive emotion,Apple iOS App,check out googletv to ipad apps the connected tv experience at sxsw link sxsw connectedtv fascinating
CNNMoney: Got a craving? #SXSW minds created an app for that - Foodspotting {link} #iPhone #apps,,Positive emotion,,cnnmoney got a craving sxsw minds created an app for that foodspotting link iphone apps
Microsoft got me so drunk I changed my iPhone default search to yahoo. #SXSW,,No emotion toward brand or product,,microsoft got me so drunk i changed my iphone default search to yahoo sxsw
/@mention Grab the latest @mention before #SXSW! {link} #saytextson!,,No emotion toward brand or product,,grab the latest before sxsw link saytextson
msc_page: Guy gets tattoo at SXSW so he could win a free iPad2 {link} #sxsw #tattoo #ipadÛ_ {link} #allshare,iPad,No emotion toward brand or product,Apple iPad,msc page guy gets tattoo at sxsw so he could win a free ipad2 link sxsw tattoo ipad link allshare
Bring it  guys! About to start  in Austin with @mention and @mention at #touchingstories ##SXSW  &quot;Designing Digital Magazines for the iPad&quot;,,No emotion toward brand or product,,bring it guys about to start in austin with and at touchingstories sxsw quot designing digital magazines for the ipad quot
Less than half an hour and we'll tell you how to win an iPad 2!  RT this now! #SXSW #SXSWi,,No emotion toward brand or product,,less than half an hour and we'll tell you how to win an ipad 2 rt this now sxsw sxswi
"iPad 2 in hand, awesome dude gave me cutsies on a 3 hour line. #austin #apple #sxsw #winning",iPad,Positive emotion,Apple iPad,ipad 2 in hand awesome dude gave me cutsies on a 3 hour line austin apple sxsw winning
IPad 2 in hand.  #SXSW # thisisdare,,No emotion toward brand or product,,ipad 2 in hand sxsw thisisdare
"I'm gonna hang my iPad and our hacked NOOK around my neck this week so I can become the Flava Flav of #sxsw! Top that, hipsters! #gsdm",,No emotion toward brand or product,,i'm gonna hang my ipad and our hacked nook around my neck this week so i can become the flava flav of sxsw top that hipsters gsdm
.@mention has an something called Google Places with HotPot that works as a recommendation engine. #SxSW,,No emotion toward brand or product,,has an something called google places with hotpot that works as a recommendation engine sxsw
This Post Has Nothing to do with #SXSW {link},,No emotion toward brand or product,,this post has nothing to do with sxsw link
"#smtravel hasn't heard - Google plans to launch a socnet in May - &quot;Circles&quot;. They have learned a lot in 5 years, lots has changed. via #sxsw",Google,Positive emotion,Google,smtravel hasn't heard google plans to launch a socnet in may quot circles quot they have learned a lot in 5 years lots has changed via sxsw
What if I have BB? Discriminatory! ;P RT @mention @mention We're officially at #SXSW! Come by the FC Grill...&amp; make ur own iPhone case!,,No emotion toward brand or product,,what if i have bb discriminatory p rt we're officially at sxsw come by the fc grill amp make ur own iphone case
"I may not have invites to all the &quot;cool&quot; #sxsw #sxswi parties, but I do have two iPhone chargers in my pocket, so you'll be happy to see me!",,Positive emotion,,i may not have invites to all the quot cool quot sxsw sxswi parties but i do have two iphone chargers in my pocket so you'll be happy to see me
Who would have thunk it? RT @mention Agencies push Google in directions they never would have gone otherwise says @mention #SXSW,,No emotion toward brand or product,,who would have thunk it rt agencies push google in directions they never would have gone otherwise says sxsw
